ID,Priority,Severity,Category,Module,File,Line,Issue,Description,Impact,Status,Assignee,EstimatedDays,ActualDays,Notes
ISSUE-1,P1,High,Documentation,Duration,duration.pas,491-500,除零抛出异常,"div 运算符在除数为 0 时抛出 EDivByZero 异常（已从饱和策略改为异常策略）",Exception - 需要捕获异常,Closed,,1,0.5,"已实现异常策略：div 和 Divi 在除零时抛出 EDivByZero。XML 文档已说明此行为并推荐使用 CheckedDivBy。与原计划的饱和策略不同，选择异常以符合 Pascal 语言习惯"
ISSUE-2,P1,High,Documentation,Duration,duration.pas,526-533,模零抛出异常,"Modulo 函数在除数为 0 时抛出 EDivByZero 异常（已从饱和策略改为异常策略）",Exception - 需要捕获异常,Closed,,0.5,0.5,"已实现异常策略：Modulo 在除零时抛出 EDivByZero。XML 文档已说明此行为并推荐使用 CheckedModulo。与原计划的饱和策略不同，选择异常以符合 Pascal 语言习惯"
ISSUE-3,P1,High,Bug,Duration,duration.pas,333-363,舍入函数未处理 Low(Int64),"FloorToUs/CeilToUs/RoundToUs 在处理 Low(Int64) 时可能溢出（absNs := -FNs）",Overflow - 崩溃风险,Closed,,1,1,已修复：添加 Low(Int64) 边界检查并饱和到 High(Int64)。新增 5 个测试
ISSUE-4,P2,Medium,Documentation,Duration,duration.pas,287-301,FromSecF 精度损失未文档化,Double 精度不足以表示完整 Int64 范围（~100ns 精度损失）,Precision loss - 用户可能不知情,Closed,,0.5,0.5,已添加详细 XML 文档：精度警告、使用指南、示例代码。新增 6 个测试用例。详见 ISSUE-4-FromSecF-precision-documentation.md
ISSUE-5,P2,Medium,Documentation,Instant,instant.pas,34-88,Diff 饱和行为未文档化,当时间差超过 Int64 范围时饱和到 High/Low(Int64),Precision loss - 50% 误差,Closed,,0.5,0.1,已添加详尽 XML 文档：饱和策略、精度损失说明、使用建议和示例代码。Sprint 1 完成
ISSUE-6,P0,Critical,Bug,Timer,timer.pas,732-809,Timer Schedule 竞态条件,"ScheduleAt/ScheduleAtFixedRate/ScheduleWithFixedDelay 中 RefCount 初始为 0，在 HeapInsert 后、TTimerRef.Create 前可能被提前释放",Data corruption - 内存访问违规/double-free,Closed,,2,2,已修复：初始 RefCount 改为 1；TTimerRef.Create 不再重复 Inc。详见 ISSUE_6_FIX_REPORT.md
ISSUE-7,P2,Medium,Performance,Instant,instant.pas,183-265,比较运算符冗余实现,LessThan -> Compare -> 字段比较（双层调用）,Performance - 不必要的函数调用开销,Closed,,1,1,"已修复：优化9个比较方法（LessThan/GreaterThan/Equal/HasPassed/IsBefore/IsAfter/Clamp/Min/Max）为直接字段比较，消除函数调用开销。性能提升20-30%。详见 ISSUE_7_FIX_REPORT.md 和测试 test_issue7_performance.pas"
ISSUE-8,P3,Low,Refactor,Timeout,timeout.pas,390,Overdue 重复逻辑,使用 -remDur 而不是 remDur.Abs,Code quality - 重复逻辑,Closed,,0.5,0.05,已重构：使用 remDur.Abs 替代负号运算符，代码更清晰。Sprint 1 完成
ISSUE-9,P2,Medium,Enhancement,Timeout,timeout.pas,130-135,缺少比较运算符,"只实现了 =, <, >，缺少 <>, <=, >=",API incompleteness - 不一致,Closed,,0.5,0.1,"已补充：添加 <>, <=, >= 运算符，API 完整性提升。Sprint 1 完成"
ISSUE-10,P2,Medium,Documentation,All,*.pas,All,缺少 XML 文档,所有公共 API 缺少 XML 文档注释,Developer experience - 难以使用,Open,,5,,逐个添加 XML 注释
ISSUE-11,P2,Medium,Style,All,*.pas,All,命名约定不一致,"From* 和 As* 命名不统一",API consistency - 可能混淆,Open,,1,,制定命名规范
ISSUE-12,P3,Low,Performance,Timeout,timeout.pas,130-135,缺少 inline 关键字,TDeadline 运算符缺少 inline 优化,Performance - 轻微性能损失,Closed,,1,0.05,已优化：为 TDeadline 的 6 个运算符重载添加 inline 关键字。Sprint 1 完成
ISSUE-13,P1,High,Documentation,Clock,clock.pas,63-76,时钟语义混淆,IMonotonicClock 返回 TInstant 但语义不同（单调 vs Unix epoch）,API confusion - 用户可能混淆使用,Closed,,3,0.5,已添加详细 XML 文档和警告说明，明确单调时钟仅用于相对时间测量
ISSUE-14,P1,High,Bug,Clock,clock.pas,470-482,Windows QPC 溢出,"QpcNowNs: (UInt64(li) * 1000000000) 可能溢出（58 年后）",Overflow - 长期运行风险,Closed,,1,1,已修复：使用先除后乘分解法，完全消除 64 位溢出风险
ISSUE-15,P3,Low,Bug,Clock,clock.pas,505-513,POSIX 溢出（理论）,"MonoNowNs 溢出需要 584 年，实际不可能",Acceptable - 不可能发生,Closed,,0,,可接受风险
ISSUE-16,P1,High,Bug,Clock,clock.pas,494-510,macOS 溢出,DarwinNowNs: (t * FTBNumer) 可能溢出（175 天后）,Overflow - 中期运行风险,Closed,,1,1,已修复：使用先除后乘分解法，消除 175 天后溢出风险
ISSUE-17,P1,High,Performance,Clock,clock.pas,558-620,WaitFor 自旋 CPU 高,最后 50us 持续 SchedYield 导致 CPU 100%,Performance - CPU 占用过高,Closed,,2,1.5,已修复：引入三阶段策略（极短自旋/微睡眠/常规睡眠），CPU 占用显著降低
ISSUE-18,P2,Medium,Enhancement,Clock,clock.pas,552-593,取消令牌检查频率,10ms 检查一次太慢，快速响应场景延迟高,Responsiveness - 取消延迟,Open,,1,,添加配置选项
ISSUE-19,P1,High,Bug,Clock,clock.pas,689-701,NowUTC 依赖 RTL,LocalTimeToUniversal 在 DST 边界不准确,Accuracy - 时间错误,Closed,,1,1,已修复：Windows 使用 GetSystemTimeAsFileTime，消除 DST 问题
ISSUE-20,P1,High,Bug,Clock,clock.pas,708-731,NowUnixMs 精度损失,TDateTime 精度不足（~1.3ms）且两次调用不一致,Precision loss - 毫秒精度丢失,Closed,,1,1,已修复：Windows 使用 GetSystemTimeAsFileTime，精度提升 13000 倍（100ns）
ISSUE-21,P1,High,Bug,Clock,clock.pas,839-1052,TFixedClock 数据竞争,"FFixedInstant 和 FFixedDateTime 分开更新，并发读取不一致",Data race - 读到不一致状态,Closed,,2,1.5,"已修复：采用单一真实来源策略，只保留 FFixedInstant，所有 DateTime 方法通过转换计算。详见 ISSUE_21_FIX_REPORT.md"
ISSUE-22,P1,High,Bug,Timer,timer.pas,97-114,TTimerEntry 裸指针,使用 record 指针手动引用计数容易泄漏,Memory leak - 条件不满足时泄漏,Closed,,0.5,0.5,"已验证：代码审查显示 RefCount 管理正确。所有路径（调度、取消、回调）均正确递减引用并检查释放条件。Dispose 只在 RefCount=0 且 Dead=true 时调用。现有测试已覆盖场景。"
ISSUE-23,P1,High,Bug,Timer,timer.pas,92-96,全局变量线程安全,GTimerExceptionHandler 无锁保护，读写竞争,Race condition - 可能调用无效地址,Closed,,1,0.5,已修复：添加 GTimerExceptionHandlerLock 保护 setter/getter 和调用点
ISSUE-24,P1,High,Bug,Timer,timer.pas,63,FixedRate 追赶风暴,默认无限制追赶，回调慢时可能连续执行大量次,Performance - 追赶风暴,Closed,,0.5,0.5,已修复：GFixedRateMaxCatchupSteps 默认值改为 3
